2026-03-19 16:35:41,263 | INFO | main | dolphin-asr service started.
2026-03-19 16:36:13,250 | INFO | dolphin.nacos_config | Config hot-reload [nacos-grpc-push] — 1 item(s) changed:
2026-03-19 16:36:13,251 | INFO | dolphin.nacos_config |   silence_max_ms                 9006  ->  901
2026-03-19 16:36:38,688 | INFO | main | dolphin-asr service stopped.
2026-03-19 17:01:29,811 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-19 17:01:29,811 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-19 17:01:29,812 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-19 17:01:29,813 | INFO | main | dolphin-asr service started.
2026-03-19 17:01:47,367 | INFO | main | WebSocket connected: call_id=1001
2026-03-19 17:01:52,493 | INFO | asr.vad | VAD: continuous speech 2016 ms >= threshold 2000 ms, triggering interrupt
2026-03-19 17:01:52,830 | INFO | httpx | HTTP Request: POST http://127.0.0.1:9000/interrupt "HTTP/1.0 200 OK"
2026-03-19 17:01:52,831 | INFO | asr.stream_handler | call_id=1001 interrupt sent
2026-03-19 17:01:57,383 | INFO | asr.stream_handler | call_id=1001 no_answer timeout (10.0s)
2026-03-19 17:01:57,656 | INFO | httpx | HTTP Request: POST http://127.0.0.1:9000/callback/995 "HTTP/1.0 200 OK"
2026-03-19 17:01:57,658 | INFO | asr.stream_handler | call_id=1001 no_answer sent
2026-03-19 17:01:59,607 | INFO | main | WebSocket disconnected: call_id=1001
2026-03-19 17:09:14,955 | INFO | dolphin.nacos_config | Config hot-reload [nacos-grpc-push] — 2 item(s) changed:
2026-03-19 17:09:14,956 | INFO | dolphin.nacos_config |   intent_service_url             'http://127.0.0.1:8809'  ->  'http://127.0.0.1:8808'
2026-03-19 17:09:14,956 | INFO | dolphin.nacos_config |   silence_max_ms                 901  ->  500
2026-03-19 17:10:25,160 | INFO | main | dolphin-asr service stopped.
2026-03-19 17:10:32,029 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-19 17:10:32,030 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-19 17:10:32,032 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-19 17:10:32,033 | INFO | main | dolphin-asr service started.
2026-03-19 17:11:16,167 | INFO | main | dolphin-asr service stopped.
2026-03-19 17:11:22,993 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-19 17:11:22,994 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-19 17:11:22,994 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-19 17:11:22,995 | INFO | main | dolphin-asr service started.
2026-03-19 17:24:16,258 | INFO | main | dolphin-asr service stopped.
2026-03-19 17:24:20,263 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-19 17:24:20,263 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-19 17:24:20,264 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-19 17:24:20,264 | INFO | main | dolphin-asr service started.
2026-03-19 17:24:32,570 | INFO | main | WebSocket connected: call_id=1001
2026-03-19 17:24:38,922 | INFO | main | WebSocket disconnected: call_id=1001
2026-03-19 17:33:47,054 | INFO | main | dolphin-asr service stopped.
2026-03-19 17:33:49,279 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-19 17:33:49,279 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-19 17:33:49,280 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-19 17:33:49,280 | INFO | main | dolphin-asr service started.
2026-03-20 16:26:47,430 | INFO | main | dolphin-asr service stopped.
2026-03-20 16:26:49,890 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-20 16:26:49,890 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-20 16:26:49,891 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-20 16:26:50,220 | INFO | main | dolphin-asr service started.
2026-03-20 16:26:58,753 | INFO | main | dolphin-asr service stopped.
2026-03-20 16:27:00,719 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-20 16:27:00,720 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-20 16:27:00,720 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-20 16:27:01,200 | INFO | main | dolphin-asr service started.
2026-03-20 16:27:18,770 | INFO | main | dolphin-asr service stopped.
2026-03-20 16:27:20,670 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-20 16:27:20,670 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-20 16:27:20,671 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-20 16:27:20,995 | INFO | main | dolphin-asr service started.
2026-03-20 16:27:39,571 | INFO | main | dolphin-asr service stopped.
2026-03-20 16:27:42,275 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-20 16:27:42,276 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-20 16:27:42,277 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-20 16:27:42,608 | INFO | main | dolphin-asr service started.
2026-03-20 16:27:52,323 | INFO | main | dolphin-asr service stopped.
2026-03-20 16:27:54,281 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-20 16:27:54,281 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-20 16:27:54,282 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-20 16:27:54,597 | INFO | main | dolphin-asr service started.
2026-03-20 16:28:02,480 | INFO | main | dolphin-asr service stopped.
2026-03-20 16:28:04,380 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-20 16:28:04,380 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-20 16:28:04,382 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-20 16:28:04,695 | INFO | main | dolphin-asr service started.
2026-03-20 16:28:26,021 | INFO | main | dolphin-asr service stopped.
2026-03-20 16:28:28,340 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-20 16:28:28,341 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-20 16:28:28,341 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-20 16:28:28,657 | INFO | main | dolphin-asr service started.
2026-03-23 10:56:31,863 | INFO | main | dolphin-asr service stopped.
2026-03-23 10:56:40,725 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 10:56:40,726 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 10:56:40,726 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 10:56:41,060 | INFO | main | dolphin-asr service started.
2026-03-23 10:58:48,942 | INFO | main | dolphin-asr service stopped.
2026-03-23 10:58:55,990 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 10:58:55,990 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 10:58:55,991 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 10:58:56,306 | INFO | main | dolphin-asr service started.
2026-03-23 10:59:11,051 | INFO | main | dolphin-asr service stopped.
2026-03-23 10:59:17,990 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 10:59:17,990 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 10:59:17,991 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 10:59:18,322 | INFO | main | dolphin-asr service started.
2026-03-23 10:59:18,439 | INFO | main | dolphin-asr service stopped.
2026-03-23 10:59:20,082 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 10:59:20,083 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 10:59:20,083 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 10:59:20,407 | INFO | main | dolphin-asr service started.
2026-03-23 10:59:20,533 | INFO | main | dolphin-asr service stopped.
2026-03-23 10:59:22,974 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 10:59:22,975 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 10:59:22,975 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 10:59:23,289 | INFO | main | dolphin-asr service started.
2026-03-23 10:59:26,903 | INFO | main | dolphin-asr service stopped.
2026-03-23 10:59:28,712 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 10:59:28,712 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 10:59:28,714 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 10:59:29,038 | INFO | main | dolphin-asr service started.
2026-03-23 11:00:28,757 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:00:35,498 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:00:35,498 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:00:35,501 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:00:35,806 | INFO | main | dolphin-asr service started.
2026-03-23 11:00:35,921 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:00:37,485 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:00:37,486 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:00:37,486 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:00:37,794 | INFO | main | dolphin-asr service started.
2026-03-23 11:01:16,311 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:01:23,370 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:01:23,371 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:01:23,372 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:01:23,753 | INFO | main | dolphin-asr service started.
2026-03-23 11:01:36,315 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:01:43,055 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:01:43,055 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:01:43,055 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:01:43,357 | INFO | main | dolphin-asr service started.
2026-03-23 11:04:05,774 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:04:12,433 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:04:12,433 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:04:12,433 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:04:12,734 | INFO | main | dolphin-asr service started.
2026-03-23 11:04:24,639 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:04:31,392 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:04:31,393 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:04:31,393 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:04:31,697 | INFO | main | dolphin-asr service started.
2026-03-23 11:04:33,119 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:04:34,928 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:04:34,929 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:04:34,929 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:04:35,235 | INFO | main | dolphin-asr service started.
2026-03-23 11:05:22,717 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:05:29,324 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
2026-03-23 11:05:29,324 | INFO | dolphin.nacos_config | Nacos config loaded: data_id=asr-server.yaml group=dolphin
2026-03-23 11:05:29,324 | INFO | asr.engine | ASR model loading placeholder called. No model loaded.
2026-03-23 11:05:29,623 | INFO | main | dolphin-asr service started.
2026-03-23 11:27:58,126 | INFO | main | dolphin-asr service stopped.
2026-03-23 11:28:04,815 | INFO | dolphin.nacos_config | Config initialized [nacos-init]
